,code,date,Next1year,ndcg@1,ndcg@2,ndcg@3,ndcg@5
129203,161616,2017/4/16,-2.643578999,-0.21782507,0.5,0.2991816,0.20258212
129204,630010,2017/4/16,-3.641431397,0.57122284,0.5,0.8563186,0.19610476
129205,20026,2017/4/16,25.50447477,-0.46402577,0.5,-0.02965513,1.1054183
129206,620008,2017/4/16,10.50788091,-0.8636982,0.5,-0.4085344,0.19030444
129207,161610,2017/4/16,13.50175222,-1.3202456,0.5,-0.6537993,-0.02543064
129208,730002,2017/4/16,17.00951117,0.45104188,0.5,0.954973,0.7896906
129209,163415,2017/4/16,8.477990656,0.87738305,0.5,1.0381135,0.53057075
129210,550,2017/4/16,-8.443633044,1.3951323,0.5,1.5502298,0.52762145
129211,260117,2017/4/16,15.28882221,-0.31497127,0.5,0.24067298,0.3870669
129212,610007,2017/4/16,-0.828449053,0.8878776,0.5,1.3735225,0.6424337
129213,80012,2017/4/16,0.851049402,-0.37899053,0.5,-0.0566287,0.09222212
129214,399011,2017/4/16,43.30119115,-0.79085726,0.5,-0.56099814,0.7342753
129215,660010,2017/4/16,30.45760584,0.7503669,0.5,1.1711593,0.6498283
129216,471,2017/4/16,-22.97577303,0.41970968,0.5,0.58780944,0.7824801
129217,90007,2017/4/16,15.79105224,-0.37854907,0.5,-0.0338539,0.7637904
129218,580002,2017/4/16,-0.103134132,-0.38626826,0.5,0.041945517,-0.12210937
129219,377020,2017/4/16,18.29711299,-0.017748144,0.5,0.26485807,0.22307909
129220,50004,2017/4/16,-1.339021868,0.5073277,0.5,0.7375067,0.52896947
129221,260112,2017/4/16,7.288336834,-0.7953172,0.5,-0.54347587,1.0049142
129222,320016,2017/4/16,-5.831798649,0.85917187,0.5,1.2979662,0.6665696
129223,370027,2017/4/16,14.571949,0.012655329,0.5,0.42086822,0.82296884
129224,163822,2017/4/16,-0.594431119,0.8247615,0.5,1.3591975,0.49473906
129225,460009,2017/4/16,6.863700336,0.31105715,0.5,0.56428516,1.1178422
129226,50014,2017/4/16,10.20740528,1.2133975,0.5,1.4584754,0.9076115
129227,450002,2017/4/16,21.98360286,0.56916887,0.5,0.77335817,0.58395076
129228,540007,2017/4/16,-6.432317273,0.31929415,0.5,0.7926196,0.79331535
129229,450007,2017/4/16,3.801865552,0.069685735,0.5,0.4441882,0.2735027
129230,688888,2017/4/16,-9.369592089,0.32740545,0.5,0.55327415,0.8718927
129231,110011,2017/4/16,26.70937682,0.665957,0.5,0.82883084,1.2458615
129232,310358,2017/4/16,12.34785756,-0.44960284,0.5,-0.09557399,0.7012678
129233,320005,2017/4/16,-0.637776651,0.48015854,0.5,0.8042361,0.3809415
129234,729,2017/4/16,8.197879859,-0.40157983,0.5,-0.026117938,0.61618304
129235,70010,2017/4/16,-2.697896555,1.2705394,0.5,1.7707881,0.28644085
129236,320011,2017/4/16,9.88143704,-0.074092865,0.5,0.15337107,0.84043527
129237,831,2017/4/16,22.21385542,-0.95551234,0.5,-0.71285594,0.37237078
129238,519093,2017/4/16,-1.205450734,1.6277348,0.5,1.7082859,0.41458675
129239,288002,2017/4/16,1.77122668,0.3614207,0.5,0.60522664,0.658505
129240,620005,2017/4/16,12.25776105,-1.0170945,0.5,-0.7726052,0.32099423
129241,375010,2017/4/16,12.93817106,0.59761727,0.5,0.84738356,0.29480597
129242,532,2017/4/16,26.04748603,0.40203014,0.5,0.7279193,0.47010452
129243,630006,2017/4/16,4.843814504,1.0485567,0.5,1.1854422,0.8565267
129244,161706,2017/4/16,9.952301147,-1.2442194,0.5,-0.79590577,0.20225023
129245,481001,2017/4/16,10.41000196,-0.28069746,0.5,0.003027685,0.19034706
129246,162202,2017/4/16,-6.930510086,-0.15051472,0.5,0.15404043,0.62060606
129247,161219,2017/4/16,3.375809631,-0.6689899,0.5,-0.49850678,0.78579384
129248,916,2017/4/16,0.902287193,0.72497916,0.5,0.8718602,1.0958331
129249,577,2017/4/16,21.33784928,0.85217905,0.5,1.0591892,1.390729
129250,233011,2017/4/16,9.835017266,1.0691336,0.5,1.4244853,1.0162243
129251,400011,2017/4/16,-11.85795815,0.9595069,0.5,1.2631967,0.87538207
129252,519150,2017/4/16,-1.842310116,0.7378984,0.5,1.0605735,0.4472056
129253,470028,2017/4/16,21.83098592,0.46375954,0.5,0.9729197,0.223573
129254,780,2017/4/16,0.864779874,0.791997,0.5,1.0353912,0.4946546
129255,580003,2017/4/16,-6.382724887,0.15114926,0.5,0.70523834,0.56615657
129256,163409,2017/4/16,0.193423598,1.7716447,0.5,2.076448,0.6259887
129257,893,2017/4/16,-14.71321696,-0.43174183,0.5,-0.19457167,0.01658427
129258,519110,2017/4/16,2.275233618,0.7842577,0.5,1.2539579,0.37342373
129259,172,2017/4/16,7.782168012,-2.9645164,0.5,-2.0028038,0.5654463
129260,519678,2017/4/16,6.107945022,0.4423045,0.5,0.93570447,0.4560377
129261,163805,2017/4/16,13.79114857,1.146856,0.5,1.3809181,0.532122
129262,290002,2017/4/16,-7.194925352,-0.89353013,0.5,-0.46877387,-0.12378649
129263,601,2017/4/16,15.83293327,0.91155887,0.5,1.0997418,0.31556484
129264,519987,2017/4/16,10.66280163,-0.32570192,0.5,0.05415248,0.5123941
129265,519979,2017/4/16,16.69974738,-1.1733286,0.5,-0.584291,0.614573
129266,540006,2017/4/16,13.27368386,-1.3630112,0.5,-0.915003,1.1265311
129267,162214,2017/4/16,10.90269637,0.30166727,0.5,0.90196675,0.1857537
129268,519670,2017/4/16,2.866824441,0.60932654,0.5,1.0689999,0.40696055
129269,20015,2017/4/16,5.019430052,0.84287906,0.5,1.2518542,1.0714655
129270,110015,2017/4/16,27.99170477,0.9516559,0.5,1.3015115,0.86734354
129271,162605,2017/4/16,41.19335185,-0.115228385,0.5,0.11022115,0.4340368
129272,519698,2017/4/16,1.319290466,-0.15366787,0.5,0.56859475,0.45240164
129273,163110,2017/4/16,-1.093275805,-0.4486843,0.5,-0.30483896,1.0468307
129274,270008,2017/4/16,-11.12215047,1.3000188,0.5,1.5444311,0.78230804
129275,410009,2017/4/16,-6.556929793,-0.61986494,0.5,-0.13715713,0.6654275
129276,519021,2017/4/16,2.285230639,0.2680778,0.5,0.7385854,0.47453704
129277,761,2017/4/16,7.541899441,0.94306713,0.5,1.172067,0.3264554
129278,20003,2017/4/16,0.660247593,-0.053305037,0.5,0.12709132,1.05203
129279,519185,2017/4/16,1.218737594,-0.21526185,0.5,0.24756767,1.0802644
129280,884,2017/4/16,24.00370714,-0.14113703,0.5,0.22296086,0.5653837
129281,70022,2017/4/16,14.70077304,1.7305528,0.5,2.0697918,0.8235096
129282,530001,2017/4/16,-3.554172853,-0.25696796,0.5,0.0349126,0.24517328
129283,180031,2017/4/16,16.12949027,0.32028413,0.5,0.7104105,1.003589
129284,690007,2017/4/16,14.83387927,-0.068218224,0.5,0.34407586,1.048393
129285,610001,2017/4/16,14.09654818,0.29168543,0.5,0.5925627,0.35931396
129286,160805,2017/4/16,-7.181157275,0.20122123,0.5,0.3350174,0.19379094
129287,20010,2017/4/16,-0.310040544,0.2386029,0.5,0.40718746,0.7564097
129288,540009,2017/4/16,26.6497223,0.5020763,0.5,0.80427176,0.9340764
129289,112002,2017/4/16,8.682789226,1.0013602,0.5,1.183834,0.18534222
129290,50009,2017/4/16,10.09555166,0.72133815,0.5,1.1212379,-0.006911625
129291,70021,2017/4/16,-0.527009223,0.9408216,0.5,1.3473663,0.6951366
129292,320007,2017/4/16,-19.74022714,-0.14559975,0.5,0.5052256,0.34802306
129293,646,2017/4/16,5.178979436,0.59552354,0.5,0.7033688,0.495201
129294,1036,2017/4/16,11.37339056,1.2535173,0.5,1.5229251,0.4080992
129295,161005,2017/4/16,21.62312571,0.54881996,0.5,0.6559958,0.43218315
129296,360012,2017/4/16,-3.087497273,0.37247196,0.5,0.5354178,0.7589044
129297,310368,2017/4/16,9.114874224,0.15611406,0.5,0.4968103,0.6528882
129298,630001,2017/4/16,-12.87388416,1.0221416,0.5,1.2623037,0.41204828
129299,481015,2017/4/16,-0.859453994,-0.5301225,0.5,0.005692501,0.5350722
129300,481008,2017/4/16,15.99135918,-0.0252302,0.5,0.28930476,0.63897806
129301,700001,2017/4/16,2.557931651,0.30423054,0.5,0.82069844,0.17421958
129302,828,2017/4/16,2.576937338,-0.20903838,0.5,0.044140395,0.45613882
129303,162208,2017/4/16,6.354579747,-0.36088914,0.5,0.15979403,0.44883204
129304,688,2017/4/16,16.94249225,0.3078775,0.5,0.5715225,0.63887084
129305,530011,2017/4/16,15.1565402,0.24587463,0.5,0.52986014,0.51710755
129306,340007,2017/4/16,34.42885003,0.7928617,0.5,1.1722244,0.50129044
129307,410003,2017/4/16,5.479452055,-0.6608337,0.5,-0.26684165,0.17110763
129308,50010,2017/4/16,0.524737631,-0.061913803,0.5,0.37642443,0.34293935
129309,162201,2017/4/16,-1.349808529,-0.4388232,0.5,-0.0648938,0.030340742
129310,162607,2017/4/16,16.18780024,0.8638237,0.5,1.1866634,0.7350323
129311,470009,2017/4/16,19.75585757,1.5384498,0.5,1.8216945,0.54266477
129312,1028,2017/4/16,-1.994680851,-0.22876383,0.5,0.000607943,0.2619643
129313,377150,2017/4/16,9.58857696,-0.1016718,0.5,0.31494933,0.5575827
129314,513,2017/4/16,15.66011236,-0.28863382,0.5,-0.014735736,0.4122085
129315,1126,2017/4/16,-6.722689076,0.5375824,0.5,0.65957975,0.39645422
129316,925,2017/4/16,13.73271889,0.49268794,0.5,0.76038337,0.17466444
129317,50018,2017/4/16,8.223972003,1.3628124,0.5,1.6212633,1.2000196
129318,200006,2017/4/16,3.002834844,0.013037114,0.5,0.34535664,0.32815143
129319,519736,2017/4/16,26.17139959,1.1782112,0.5,1.3664055,0.9951663
129320,213003,2017/4/16,-1.701543014,-0.5385592,0.5,-0.08984184,0.11265008
129321,270021,2017/4/16,2.964959569,0.5216123,0.5,0.86350894,0.23868379
129322,550008,2017/4/16,13.68558445,0.56613374,0.5,0.9410306,0.6738425
129323,1118,2017/4/16,3.734439834,0.3068807,0.5,0.5164155,0.11344043
129324,519673,2017/4/16,4.921700224,0.39168963,0.5,0.6817846,0.4344272
129325,580008,2017/4/16,7.969639469,-0.7882602,0.5,-0.22032304,0.03323172
129326,294,2017/4/16,27.1559633,0.13815612,0.5,0.7451241,0.7343227
