,code,date,Next6month,ndcg@1,ndcg@2,ndcg@3,ndcg@5
141324,50010,2017/10/1,-4.996284478,0.50355417,1.0570574,1.1236562,0.50064903
141325,519694,2017/10/1,4.226964271,0.50425714,1.515011,1.4421284,0.50080305
141326,320011,2017/10/1,6.664163053,0.5081086,0.5027989,0.5065296,0.5014967
141327,320022,2017/10/1,1.131141746,0.50080514,0.57198924,0.5405715,0.50013334
141328,1403,2017/10/1,-3.651115619,0.49716276,0.011538976,0.06454146,0.49943113
141329,524,2017/10/1,-3.526531381,0.5021361,1.1678246,0.9719862,0.5003668
141330,309,2017/10/1,-3.85032538,0.50520563,1.8231668,1.8450714,0.5009409
141331,979,2017/10/1,1.910219675,0.50457555,0.8693771,0.94645023,0.50086486
141332,420003,2017/10/1,-0.359249735,0.5048123,1.2789465,1.1778672,0.5008857
141333,1651,2017/10/1,8.431836091,0.5045673,1.4424433,1.5189724,0.5008674
141334,100022,2017/10/1,2.796703653,0.50797534,1.2634848,1.3842173,0.5015275
141335,740001,2017/10/1,-2.07907758,0.4989964,1.2251225,1.2226657,0.49976707
141336,40005,2017/10/1,8.304743354,0.49681434,1.2448076,1.30843,0.4993585
141337,519018,2017/10/1,3.789856792,0.500641,1.0801513,1.2067659,0.5001128
141338,160919,2017/10/1,-3.078013068,0.50085604,0.8414371,0.5988696,0.50015086
141339,288002,2017/10/1,-1.41640052,0.504092,1.0557117,1.0148133,0.50074595
141340,163805,2017/10/1,4.028098276,0.50372094,1.202068,1.2615047,0.50069606
141341,1072,2017/10/1,6.803355079,0.5026651,1.4717251,1.542701,0.50051844
141342,260111,2017/10/1,5.105179599,0.5056652,1.2965788,1.453023,0.50109714
141343,549,2017/10/1,-4.884453782,0.5046251,2.6463158,2.507561,0.50087696
141344,121008,2017/10/1,-1.725348581,0.49700764,0.4967038,0.58253676,0.49942476
141345,450004,2017/10/1,8.49239627,0.496592,0.89609194,1.1453587,0.49937212
141346,867,2017/10/1,5.018174475,0.5013795,0.8212348,0.8454067,0.50024617
141347,202005,2017/10/1,0.044788821,0.5097871,0.7455107,0.7019949,0.5018382
141348,162204,2017/10/1,1.064584812,0.4961249,1.5620306,1.7050667,0.49926937
141349,481015,2017/10/1,-6.068965517,0.4997475,0.5015568,0.64352727,0.49995366
141350,217012,2017/10/1,2.123267473,0.5026633,0.48435423,0.6085559,0.5005162
141351,620005,2017/10/1,2.929217492,0.5030063,0.2805403,0.23492956,0.5005471
141352,690004,2017/10/1,11.74917492,0.5060991,0.47733748,0.4522235,0.5011555
141353,210004,2017/10/1,-12.85004799,0.50433093,-0.37650084,-0.3250432,0.5007744
141354,519983,2017/10/1,-4.928653436,0.50239384,0.17115352,0.25171673,0.50040156
141355,320007,2017/10/1,-10.61380203,0.49380156,0.1899491,0.20950438,0.49877453
141356,40035,2017/10/1,-6.233667386,0.5085033,1.4532659,1.5077208,0.50157416
141357,1541,2017/10/1,-5.490196078,0.5003115,1.6949971,1.7883397,0.50004387
141358,519678,2017/10/1,-8.166356011,0.500503,1.2731081,1.3407658,0.5001058
141359,210001,2017/10/1,-0.805616587,0.50022405,-0.95692116,-0.9660953,0.49997556
141360,162607,2017/10/1,3.703556763,0.5062155,0.8593899,0.95187587,0.5011976
141361,481004,2017/10/1,-8.357540547,0.4897574,-0.1241878,-0.051240694,0.49803615
141362,450007,2017/10/1,-2.691302281,0.5002018,0.71839017,0.8292046,0.5000311
141363,310328,2017/10/1,0.504577611,0.4957332,0.2828139,0.20230435,0.49912387
141364,610007,2017/10/1,-3.828865421,0.49979627,1.094906,1.1793406,0.49995446
141365,90003,2017/10/1,5.085094879,0.5025611,0.6993919,0.8162919,0.5004968
141366,1118,2017/10/1,0.657894737,0.4985905,0.6329915,0.65207946,0.49970606
141367,270005,2017/10/1,-1.765068071,0.49815735,0.7414802,0.7064345,0.49960738
141368,166006,2017/10/1,6.73937925,0.5071198,0.67249864,0.735494,0.50137395
141369,660006,2017/10/1,2.986040492,0.5003612,1.4576166,1.5263829,0.50006753
141370,400007,2017/10/1,-2.019546323,0.5037155,1.6716826,1.7767857,0.5006637
141371,40016,2017/10/1,2.565567138,0.50412357,1.5340954,1.5368118,0.5007535
141372,233006,2017/10/1,3.435334873,0.5040909,1.4646046,1.4903454,0.5007572
141373,510081,2017/10/1,-4.845458701,0.49880505,0.7395551,0.748423,0.49976927
141374,161005,2017/10/1,7.166987306,0.50571406,0.38886145,0.41512802,0.5010883
141375,866,2017/10/1,-6.476484194,0.49926907,0.34785718,0.039355382,0.49982062
141376,610004,2017/10/1,-5.900383142,0.5011536,0.9115726,0.976098,0.5002175
141377,519665,2017/10/1,9.387966805,0.5073105,1.9137305,1.7263935,0.5014066
141378,172,2017/10/1,-3.03179596,0.51182127,-0.31029892,-0.34044346,0.50224066
